id,title,db_category,prediction,db_score,top1_score,top2_score,margin,bin,human_category,label_note
1,Tướng Ba Lan tiết lộ vụ F-16 suýt bắn rơi MiG-29 Ukraine,Khoa học,Khoa học,-0.5191517295124731,-0.5191517295124731,-0.5829367115058997,0.06378498199342653,<0.10,,
2,Xây dựng cơ chế mới phát triển công nghệ chiến lược và nhiệm vụ cấp bách,Khoa học,Khoa học,0.033812207010562534,0.033812207010562534,-0.8312289514139721,0.8650411584245347,>=0.50,,
3,Ăn gì giàu omega-3 tốt cho tim?,Sức khỏe,Sức khỏe,-0.06499961328146409,-0.06499961328146409,-0.707704572145135,0.642704958863671,>=0.50,,
4,5 thay đổi ở mắt có thể cảnh báo rối loạn tuyến giáp,Sức khỏe,Sức khỏe,-0.15914915101320448,-0.15914915101320448,-0.6541690336201509,0.4950198826069464,0.30–0.50,,
5,Gom tinh trùng thụ tinh ống nghiệm cho người đàn ông vô sinh,Sức khỏe,Sức khỏe,-0.31296272721030716,-0.31296272721030716,-0.5584750140818519,0.2455122868715447,0.20–0.30,,
6,TP HCM sáp nhập Bệnh viện Giao thông vận tải,Sức khỏe,Sức khỏe,0.1328014074010957,0.1328014074010957,-0.8387914846153924,0.9715928920164881,>=0.50,,
7,Nghệ thuật 'khiêu khích' ẩn sau quả chuối dán tường 6 triệu USD,Khoa học,Khoa học,-0.6051188845326458,-0.6051188845326458,-0.6879185953363288,0.08279971080368298,<0.10,,
8,Sun World được giao hơn 200 ha đất làm khu đô thị ở Măng Đen,Khoa học,Khoa học,-0.5820397917395278,-0.5820397917395278,-0.6219973608295489,0.03995756909002113,<0.10,,
9,Hơn 29 triệu người nguy cơ thiếu nước do El Nino,Sức khỏe,Sức khỏe,-0.3624879028125557,-0.3624879028125557,-0.7360099957992579,0.37352209298670214,0.30–0.50,,
10,'The World We' mở không gian đối thoại về cách con người nhìn thế giới,Giáo dục,Giáo dục,-0.33180678947566683,-0.33180678947566683,-0.5742660298799481,0.2424592404042813,0.20–0.30,,
11,Long Châu đưa giải pháp tránh thai thế hệ mới từ Đức về Việt Nam,Sức khỏe,Sức khỏe,-0.44098606711834404,-0.44098606711834404,-0.5472613991397361,0.10627533202139211,0.10–0.20,,
12,Ứng dụng hẹn hò cam kết hoàn tiền nếu 3 năm vẫn 'ế',Khoa học,Khoa học,-0.5447834996536883,-0.5447834996536883,-0.5748901962540548,0.030106696600366467,<0.10,,
13,"MPV cỡ B tháng 8 - doanh số giảm, Xpander vẫn dẫn đầu",Kinh doanh,Kinh doanh,-0.4275202323047269,-0.4275202323047269,-0.6794057129831532,0.2518854806784263,0.20–0.30,,
14,CLB đối thủ chế nhạo Ronaldo vấp cỏ,Thể thao,Thể thao,-0.2663663146389614,-0.2663663146389614,-0.6761296003889496,0.40976328574998827,0.30–0.50,,
15,Vua và Hoàng hậu Thái Lan lễ Phật tại chùa Quán Sứ,Thế giới,Thế giới,-0.5173262233595174,-0.5173262233595174,-0.6282902535659367,0.11096403020641932,0.10–0.20,,
16,Startup Aves mở cuộc thi thiết kế xe máy điện,Khoa học,Khoa học,-0.37771274912028585,-0.37771274912028585,-0.6330475323127837,0.2553347831924978,0.20–0.30,,
17,Cựu trung vệ Pháp: 'Tôi chưa từng thấy Messi nói về Quả Bóng Vàng như Mbappe',Thể thao,Thể thao,-0.27138834991024796,-0.27138834991024796,-0.6593376463961711,0.38794929648592313,0.30–0.50,,
18,Giám đốc Công ty Explore Ha Giang bị bắt,Kinh doanh,Kinh doanh,0.0892642451434904,0.0892642451434904,-0.785154868884618,0.8744191140281085,>=0.50,,
19,An Giang chi thừa tiền cho 35 người nghỉ việc theo chính sách 178,Khoa học,Khoa học,-0.6588943724286789,-0.6588943724286789,-0.7022409046494777,0.04334653222079887,<0.10,,
20,"6 người giả bác sĩ gây tê, hút mỡ cho khách muốn làm đẹp",Sức khỏe,Sức khỏe,0.10023113379852455,0.10023113379852455,-0.6951502373254628,0.7953813711239873,>=0.50,,
